# compound name, pubchem_id, CNS, xLogP, TPSA, SMILES
           Aliskiren,    5493444,      FALSE,    3.500,    146.000, COCCCOC1=C(OC)C=CC(C[C@@H](C[C@H](N)[C@@H](O)C[C@@H](C(C)C)C(=O)NCC(C)(C)C(N)=O)C(C)C)=C1
        Alitretinoin,     449171,      FALSE,    6.300,     37.300, C\C(\C=C\C1=C(C)CCCC1(C)C)=C\C=C\C(\C)=C\C(O)=O
          Alizapride,  135413504,      FALSE,    1.600,     83.100, COC1=CC2=NNN=C2C=C1C(=O)NCC1CCCN1CC=C
         Allopurinol,  135401907,      FALSE,   -0.700,     70.100, O=C1N=CN=C2NNC=C12
       Allylestrenol,     235905,      FALSE,    5.300,     20.200, [H][C@@]12CC[C@@](O)(CC=C)[C@@]1(C)CC[C@]1([H])[C@@]3([H])CCCC=C3CC[C@@]21[H]
           Almitrine,      33887,      FALSE,    5.600,     69.200, FC1=CC=C(C=C1)C(N1CCN(CC1)C1=NC(NCC=C)=NC(NCC=C)=N1)C1=CC=C(F)C=C1
         Almotriptan,     123606,       TRUE,    1.600,     64.800, CN(C)CCC1=CNC2=C1C=C(CS(=O)(=O)N1CCCC1)C=C2
          Alogliptin,   11450633,      FALSE,    0.600,     93.700, CN1C(=O)C=C(N2CCC[C@@H](N)C2)N(CC2=C(C=CC=C2)C#N)C1=O
           Alosetron,       2099,      FALSE,    1.600,     53.900, CN1C2=C(C3=CC=CC=C13)C(=O)N(CC1=C(C)NC=N1)CC2
          Alprazolam,       2118,       TRUE,    2.100,     43.100, CC1=NN=C2CN=C(C3=CC=CC=C3)C3=C(C=CC(Cl)=C3)N12
          Alprenolol,       2119,      FALSE,    3.100,     41.500, CC(C)NCC(O)COC1=CC=CC=C1CC=C
         Alprostadil,    5280723,      FALSE,    3.200,     94.800, CCCCC[C@H](O)C=C[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(O)=O
         Altretamine,       2123,      FALSE,    2.700,     48.400, CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C
            Alverine,       3678,      FALSE,    5.300,      3.200, CCN(CCCC1=CC=CC=C1)CCCC1=CC=CC=C1
           Alvimopan,    5488548,      FALSE,    1.700,     89.900, C[C@H]1CN(C[C@H](CC2=CC=CC=C2)C(=O)NCC(O)=O)CC[C@@]1(C)C1=CC(O)=CC=C1
          Amantadine,       2130,       TRUE,    2.400,     26.000, NC12CC3CC(CC(C3)C1)C2
          Ambenonium,       2131,       TRUE,    5.100,     58.200, CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)CC1=CC=CC=C1Cl)CC1=CC=CC=C1Cl
          Amcinonide,     443958,      FALSE,    3.600,     99.100, [H][C@@]12C[C@@]3([H])[C@]4([H])CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@@]1(OC1(CCCC1)O2)C(=O)COC(C)=O
        Amdinocillin,      36273,      FALSE,    2.100,     98.500, [H]C(=N[C@@H]1C(=O)N2[C@@H](C(O)=O)C(C)(C)S[C@]12[H])N1CCCCCC1
          Amifostine,       2141,      FALSE,   -4.500,    121.000, NCCCNCCSP(O)(O)=O
            Amikacin,      37768,      FALSE,   -7.900,    332.000, NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O
           Amiloride,      16231,      FALSE,   -0.700,    159.000, NC(N)=NC(=O)C1=C(N)N=C(N)C(Cl)=N1
   Aminoglutethimide,       2145,      FALSE,    1.200,     72.200, CCC1(CCC(=O)NC1=O)C1=CC=C(N)C=C1
      Aminophenazone,       6009,      FALSE,    1.000,     26.800, CN(C)C1=C(C)N(C)N(C1=O)C1=CC=CC=C1
          Amiodarone,       2157,      FALSE,    7.600,     42.700, CCCCC1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C2=CC=CC=C2O1
         Amisulpride,       2159,      FALSE,    1.500,    110.000, CCN1CCCC1CNC(=O)C1=CC(=C(N)C=C1OC)S(=O)(=O)CC
       Amitriptyline,       2160,       TRUE,    5.000,      3.200, CN(C)CCC=C1C2=CC=CC=C2CCC2=CC=CC=C12
           Amlexanox,       2161,      FALSE,    3.100,    103.000, CC(C)C1=CC2=C(OC3=NC(N)=C(C=C3C2=O)C(O)=O)C=C1
          Amlodipine,       2162,      FALSE,    3.000,     99.900, CCOC(=O)C1=C(COCCN)NC(C)=C(C1C1=CC=CC=C1Cl)C(=O)OC
         Amobarbital,       2164,      FALSE,    2.100,     75.300, CCC1(CCC(C)C)C(=O)NC(=O)NC1=O
         Amodiaquine,       2165,      FALSE,    2.600,     48.400, CCN(CC)CC1=C(O)C=CC(NC2=C3C=CC(Cl)=CC3=NC=C2)=C1
           Amoxapine,       2170,       TRUE,    2.600,     36.900, ClC1=CC2=C(OC3=CC=CC=C3N=C2N2CCNCC2)C=C1
         Amoxicillin,      33613,      FALSE,   -2.000,    158.000, [H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=C(O)C=C1)C(O)=O
         Amphetamine,       3007,       TRUE,    1.800,     26.000, CC(N)CC1=CC=CC=C1
          Ampicillin,       6249,      FALSE,   -1.100,    138.000, [H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=CC=C1)C(O)=O
          Amprenavir,      65016,      FALSE,    2.900,    140.000, CC(C)CN(C[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)C1=CC=C(N)C=C1
            Amrinone,       3698,      FALSE,   -0.200,     68.000, NC1=CC(=CNC1=O)C1=CC=NC=C1
           Amsacrine,       2179,      FALSE,    4.000,     88.700, COC1=C(NC2=C3C=CC=CC3=NC3=CC=CC=C23)C=CC(NS(C)(=O)=O)=C1
          Anagrelide,  135409400,      FALSE,    1.600,     44.700, ClC1=CC=C2N=C3NC(=O)CN3CC2=C1Cl
         Anastrozole,       2187,      FALSE,    2.100,     78.300, CC(C)(C#N)C1=CC(=CC(CN2C=NC=N2)=C1)C(C)(C)C#N
       Anidulafungin,     166548,      FALSE,    2.300,    377.000, [H][C@@]12C[C@@H](O)CN1C(=O)[C@@]([H])(NC(=O)[C@H](C[C@@H](O)[C@@H](O)NC(=O)[C@]1([H])[C@@H](O)[C@@H](C)CN1C(=O)[C@@]([H])(NC(=O)[C@@]([H])(NC2=O)[C@H](O)[C@@H](O)C1=CC=C(O)C=C1)[C@@H](C)O)NC(=O)C1=CC=C(C=C1)C1=CC=C(C=C1)C1=CC=C(OCCCCC)C=C1)[C@@H](C)O
         Anileridine,       8944,      FALSE,    3.700,     55.600, CCOC(=O)C1(CCN(CCC2=CC=C(N)C=C2)CC1)C1=CC=CC=C1
         Anisindione,       2197,      FALSE,    2.900,     43.400, COC1=CC=C(C=C1)C1C(=O)C2=CC=CC=C2C1=O
          Antazoline,       2200,      FALSE,    2.600,     27.600, C(N(CC1=CC=CC=C1)C1=CC=CC=C1)C1=NCCN1
          Antipyrine,       2206,      FALSE,    0.400,     23.600, CN1N(C(=O)C=C1C)C1=CC=CC=C1
         Antrafenine,      68723,      FALSE,    7.500,     57.700, FC(F)(F)C1=CC(=CC=C1)N1CCN(CCOC(=O)C2=CC=CC=C2NC2=C3C=CC(=CC3=NC=C2)C(F)(F)F)CC1
            Apixaban,   10182969,      FALSE,    2.200,    111.000, COC1=CC=C(C=C1)N1N=C(C(N)=O)C2=C1C(=O)N(CC2)C1=CC=C(C=C1)N1CCCCC1=O
         Apomorphine,       6005,       TRUE,    2.300,     43.700, [H][C@]12CC3=C(C(O)=C(O)C=C3)C3=CC=CC(CCN1C)=C23
       Apraclonidine,       2216,      FALSE,    1.300,     62.400, NC1=CC(Cl)=C(NC2=NCCN2)C(Cl)=C1
          Aprepitant,  135413536,       TRUE,    4.200,     75.200, C[C@@H](O[C@H]1OCCN(CC2=NNC(=O)N2)[C@H]1C1=CC=C(F)C=C1)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F
           Aprindine,       2218,      FALSE,    5.200,      6.500, CCN(CC)CCCN(C1CC2=CC=CC=C2C1)C1=CC=CC=C1
        Aprobarbital,       6464,      FALSE,    1.100,     75.300, CC(C)C1(CC=C)C(=O)NC(=O)NC1=O
           Arbekacin,      68682,      FALSE,   -6.800,    297.000, NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)CC[C@H]2N)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O
          Arbutamine,      60789,      FALSE,    0.900,     93.000, O[C@@H](CNCCCCC1=CC=C(O)C=C1)C1=CC(O)=C(O)C=C1
           Ardeparin,        772,      FALSE,  -10.800,    652.000, CC(=O)NC1C(O)OC(COS(O)(=O)=O)C(OC2OC(C(OC3OC(CO)C(OC4OC(C(O)C(O)C4OS(O)(=O)=O)C(O)=O)C(OS(O)(=O)=O)C3NS(O)(=O)=O)C(O)C2OS(O)(=O)=O)C(O)=O)C1O
        Arformoterol,    3083544,      FALSE,    1.800,     90.800, COC1=CC=C(C[C@@H](C)NC[C@H](O)C2=CC(NC=O)=C(O)C=C2)C=C1
        Aripiprazole,      60795,       TRUE,    4.600,     44.800, ClC1=CC=CC(N2CCN(CCCCOC3=CC4=C(CCC(=O)N4)C=C3)CC2)=C1Cl
           Aspartame,     134601,      FALSE,   -2.700,    119.000, COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](N)CC(O)=O
          Astemizole,       2247,      FALSE,    6.000,     42.300, COC1=CC=C(CCN2CCC(CC2)NC2=NC3=CC=CC=C3N2CC2=CC=C(F)C=C2)C=C1
          Atazanavir,     148192,      FALSE,    5.600,    171.000, COC(=O)N[C@H](C(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)CN(CC1=CC=C(C=C1)C1=CC=CC=N1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C
            Atenolol,       2249,      FALSE,    0.200,     84.600, CC(C)NCC(O)COC1=CC=C(CC(N)=O)C=C1
         Atomoxetine,      54841,       TRUE,    3.700,     21.300, CNCC[C@@H](OC1=CC=CC=C1C)C1=CC=CC=C1
        Atorvastatin,      60823,      FALSE,    5.000,    112.000, CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C(N1CC[C@@H](O)C[C@@H](O)CC(O)=O)C1=CC=C(F)C=C1)C1=CC=CC=C1
          Atovaquone,      74989,      FALSE,    5.200,     54.400, OC1=C([C@H]2CC[C@@H](CC2)C2=CC=C(Cl)C=C2)C(=O)C2=CC=CC=C2C1=O
          Atracurium,      47319,      FALSE,    7.900,    126.000, COC1=C(OC)C=C(CC2C3=CC(OC)=C(OC)C=C3CC[N+]2(C)CCC(=O)OCCCCCOC(=O)CC[N+]2(C)CCC3=CC(OC)=C(OC)C=C3C2CC2=CC(OC)=C(OC)C=C2)C=C1
            Atropine,     174174,      FALSE,    1.800,     49.800, CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)C(CO)C1=CC=CC=C1
            Avanafil,    9869929,      FALSE,    2.600,    125.000, COC1=C(Cl)C=C(CNC2=C(C=NC(=N2)N2CCC[C@H]2CO)C(=O)NCC2=NC=CC=N2)C=C1
         Azacitidine,       9444,      FALSE,   -2.200,    141.000, NC1=NC(=O)N(C=N1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
           Azatadine,      19861,      FALSE,    3.600,     16.100, CN1CCC(CC1)=C1C2=CC=CC=C2CCC2=C1N=CC=C2
        Azathioprine,       2265,      FALSE,    0.100,    143.000, CN1C=NC(=C1SC1=NC=NC2=C1NC=N2)[N+]([O-])=O
          Azelastine,       2267,      FALSE,    4.400,     35.900, CN1CCCC(CC1)N1N=C(CC2=CC=C(Cl)C=C2)C2=CC=CC=C2C1=O
         Azidocillin,   15574941,      FALSE,    2.800,    126.000, [H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](N=[N+]=[N-])C1=CC=CC=C1)C(O)=O
        Azithromycin,     447043,      FALSE,    4.000,    180.000, CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O
          Azlocillin,    6479523,      FALSE,    0.100,    173.000, [H][C@](NC(=O)N1CCNC1=O)(C(=O)N[C@@H]1C(=O)N2[C@@H](C(O)=O)C(C)(C)S[C@]12[H])C1=CC=CC=C1
       Bacampicillin,     441397,      FALSE,    2.700,    163.000, [H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=CC=C1)C(=O)OC(C)OC(=O)OCC
            Baclofen,       2284,       TRUE,   -1.000,     63.300, NCC(CC(O)=O)C1=CC=C(Cl)C=C1
         Balsalazide,      54585,      FALSE,    2.200,    149.000, OC(=O)CCNC(=O)C1=CC=C(C=C1)\N=N\C1=CC=C(O)C(=C1)C(O)=O
          Bambuterol,      54766,      FALSE,    1.200,     91.300, CN(C)C(=O)OC1=CC(=CC(OC(=O)N(C)C)=C1)C(O)CNC(C)(C)C
         Bedaquiline,    5388906,      FALSE,    7.200,     45.600, COC1=NC2=C(C=C(Br)C=C2)C=C1[C@@H](C1=CC=CC=C1)[C@@](O)(CCN(C)C)C1=CC=CC2=C1C=CC=C2
          Benazepril,    5362124,      FALSE,    1.300,     95.900, CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@H]1CCC2=CC=CC=C2N(CC(O)=O)C1=O
 Bendroflumethiazide,       2315,      FALSE,    1.200,    135.000, NS(=O)(=O)C1=CC2=C(NC(CC3=CC=CC=C3)NS2(=O)=O)C=C1C(F)(F)F
         Bentiromide,    6957673,      FALSE,    3.300,    116.000, OC(=O)C1=CC=C(NC(=O)[C@H](CC2=CC=C(O)C=C2)NC(=O)C2=CC=CC=C2)C=C1
        Benzatropine,    1201549,       TRUE,    4.500,     12.500, [H][C@]12CC[C@]([H])(C[C@@]([H])(C1)OC(C1=CC=CC=C1)C1=CC=CC=C1)N2C
          Benzocaine,       2337,      FALSE,    1.900,     52.300, CCOC(=O)C1=CC=C(N)C=C1
         Benzonatate,       7699,      FALSE,    2.400,    121.000, CCCCNC1=CC=C(C=C1)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC
       Benzphetamine,    5311017,      FALSE,    4.100,      3.200, C[C@@H](CC1=CC=CC=C1)N(C)CC1=CC=CC=C1
       Benzquinamide,       2342,      FALSE,    2.100,     68.300, CCN(CC)C(=O)C1CN2CCC3=CC(OC)=C(OC)C=C3C2CC1OC(C)=O
        Benzthiazide,       2343,      FALSE,    1.700,    161.000, NS(=O)(=O)C1=C(Cl)C=C2NC(CSCC3=CC=CC=C3)=NS(=O)(=O)C2=C1
         Bepotastine,     164522,      FALSE,    1.000,     62.700, OC(=O)CCCN1CCC(CC1)OC(C1=CC=C(Cl)C=C1)C1=CC=CC=N1
            Bepridil,       2351,      FALSE,    5.300,     15.700, CC(C)COCC(CN(CC1=CC=CC=C1)C1=CC=CC=C1)N1CCCC1
        Besifloxacin,   10178705,      FALSE,    1.100,     86.900, N[C@@H]1CCCCN(C1)C1=C(F)C=C2C(=O)C(=CN(C3CC3)C2=C1Cl)C(O)=O
         Betahistine,       2366,      FALSE,    0.400,     24.900, CNCCC1=CC=CC=N1
       Betamethasone,       9782,      FALSE,    1.900,     94.800, [H][C@@]12C[C@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C
           Betaxolol,       2369,      FALSE,    2.800,     50.700, CC(C)NCC(O)COC1=CC=C(CCOCC2CC2)C=C1
            Betazole,       7741,      FALSE,   -0.400,     54.700, NCCC1=CC=NN1
         Bethanechol,       2370,      FALSE,    0.000,     52.300, CC(C[N+](C)(C)C)OC(N)=O
         Bethanidine,       2368,      FALSE,    0.900,     36.400, CN\C(NCC1=CC=CC=C1)=N/C
          Bevantolol,       2372,      FALSE,    3.000,     60.000, COC1=C(OC)C=C(CCNCC(O)COC2=CC=CC(C)=C2)C=C1
          Bexarotene,      82146,      FALSE,    7.600,     37.300, CC1=CC2=C(C=C1C(=C)C1=CC=C(C=C1)C(O)=O)C(C)(C)CCC2(C)C
         Bezafibrate,      39042,      FALSE,    3.800,     75.600, CC(C)(OC1=CC=C(CCNC(=O)C2=CC=C(Cl)C=C2)C=C1)C(O)=O
        Bicalutamide,       2375,      FALSE,    2.300,    116.000, CC(O)(CS(=O)(=O)C1=CC=C(F)C=C1)C(=O)NC1=CC(=C(C=C1)C#N)C(F)(F)F
          Bifonazole,       2378,      FALSE,    4.800,     17.800, C1=CN(C=N1)C(C1=CC=CC=C1)C1=CC=C(C=C1)C1=CC=CC=C1
         Bimatoprost,    5311027,      FALSE,    2.800,     89.800, CCNC(=O)CCC\C=C/C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1\C=C\[C@@H](O)CCC1=CC=CC=C1
              Biotin,     171548,      FALSE,    0.300,    104.000, [H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2
           Biperiden,       2381,      FALSE,    4.300,     23.500, OC(CCN1CCCCC1)(C1CC2CC1C=C2)C1=CC=CC=C1
          Bisoprolol,       2405,      FALSE,    1.900,     60.000, CC(C)NCC(O)COC1=CC=C(COCCOC(C)C)C=C1
          Boceprevir,   10324367,      FALSE,    3.100,    151.000, [H][C@]12CN([C@H](C(=O)NC(CC3CCC3)C(=O)C(N)=O)[C@@]1([H])C2(C)C)C(=O)[C@@H](NC(=O)NC(C)(C)C)C(C)(C)C
          Bopindolol,      44112,      FALSE,    4.700,     63.400, CC1=CC2=C(N1)C=CC=C2OCC(CNC(C)(C)C)OC(=O)C1=CC=CC=C1
            Bosentan,     104865,      FALSE,    3.800,    154.000, COC1=CC=CC=C1OC1=C(NS(=O)(=O)C2=CC=C(C=C2)C(C)(C)C)N=C(N=C1OCCO)C1=NC=CC=N1
           Bosutinib,    5328940,      FALSE,    5.400,     82.900, COC1=CC(NC2=C(C=NC3=CC(OCCCN4CCN(C)CC4)=C(OC)C=C23)C#N)=C(Cl)C=C1Cl
           Bretylium,       2431,      FALSE,    2.800,      0.000, CC[N+](C)(C)CC1=CC=CC=C1Br
         Brimonidine,       2435,      FALSE,    0.600,     62.200, BrC1=C(NC2=NCCN2)C=CC2=NC=CN=C12
        Brinzolamide,      68844,      FALSE,   -0.300,    164.000, CCN[C@H]1CN(CCCOC)S(=O)(=O)C2=C1C=C(S2)S(N)(=O)=O
          Bromazepam,       2441,      FALSE,    1.700,     54.400, BrC1=CC2=C(NC(=O)CN=C2C2=CC=CC=N2)C=C1
           Bromfenac,      60726,      FALSE,    3.300,     80.400, NC1=C(CC(O)=O)C=CC=C1C(=O)C1=CC=C(Br)C=C1
       Bromocriptine,      31101,       TRUE,    3.800,    118.000, [H][C@@]12CCCN1C(=O)[C@H](CC(C)C)N1C(=O)[C@](NC(=O)[C@H]3CN(C)[C@]4([H])CC5=C(Br)NC6=CC=CC(=C56)C4=C3)(O[C@@]21O)C(C)C
Bromodiphenhydramine,       2444,      FALSE,    4.000,     12.500, CN(C)CCOC(C1=CC=CC=C1)C1=CC=C(Br)C=C1
     Brompheniramine,       6834,      FALSE,    3.500,     16.100, CN(C)CCC(C1=CC=C(Br)C=C1)C1=CC=CC=N1
           Buclizine,       6729,      FALSE,    7.100,      6.500, CC(C)(C)C1=CC=C(CN2CCN(CC2)C(C2=CC=CC=C2)C2=CC=C(Cl)C=C2)C=C1
          Bumetanide,       2471,      FALSE,    2.800,    127.000, CCCCNC1=C(OC2=CC=CC=C2)C(=CC(=C1)C(O)=O)S(N)(=O)=O
         Bupivacaine,       2474,      FALSE,    3.400,     32.300, CCCCN1CCCCC1C(=O)NC1=C(C)C=CC=C1C
          Bupranolol,       2475,      FALSE,    2.800,     41.500, CC1=CC(OCC(O)CNC(C)(C)C)=C(Cl)C=C1
           Bupropion,        444,       TRUE,    3.200,     29.100, CC(NC(C)(C)C)C(=O)C1=CC(Cl)=CC=C1
           Buspirone,       2477,       TRUE,    2.600,     69.600, O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(CC1)C1=NC=CC=N1
            Busulfan,       2478,      FALSE,   -0.500,    104.000, CS(=O)(=O)OCCCCOS(C)(=O)=O
        Butabarbital,       2479,      FALSE,    1.600,     75.300, CCC(C)C1(CC)C(=O)NC(=O)NC1=O
          Butalbital,       2481,       TRUE,    1.700,     75.300, CC(C)CC1(CC=C)C(=O)NC(=O)NC1=O
          Butenafine,       2484,      FALSE,    6.300,      3.200, CN(CC1=CC=C(C=C1)C(C)(C)C)CC1=CC=CC2=CC=CC=C12
            Butethal,       6473,      FALSE,    1.700,     75.300, CCCCC1(CC)C(=O)NC(=O)NC1=O
        Butoconazole,      47472,      FALSE,    6.400,     43.100, ClC1=CC=C(CCC(CN2C=CN=C2)SC2=C(Cl)C=CC=C2Cl)C=C1
         Butorphanol,    5361092,       TRUE,    3.800,     43.700, [H][C@@]12CC3=C(C=C(O)C=C3)[C@]3(CCCC[C@@]13O)CCN2CC1CCC1
         Cabergoline,      54746,      FALSE,    3.400,     71.700, [H][C@@]12CC3=CNC4=CC=CC(=C34)[C@@]1([H])C[C@H](CN2CC=C)C(=O)N(CCCN(C)C)C(=O)NCC
            Caffeine,       2519,       TRUE,   -0.100,     58.400, CN1C=NC2=C1C(=O)N(C)C(=O)N2C
           Calcidiol,    5283731,      FALSE,    6.200,     40.500, C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C
        Calcipotriol,    5288783,      FALSE,    4.300,     60.700, O[C@H](\C=C\[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C)C1CC1
          Calcitriol,    5280453,      FALSE,    5.100,     60.700, C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C
           Camazepam,      37367,      FALSE,    2.800,     62.200, CN(C)C(=O)OC1N=C(C2=CC=CC=C2)C2=C(C=CC(Cl)=C2)N(C)C1=O
       Canagliflozin,   24812758,      FALSE,    3.200,    118.000, [H][C@]1(O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C1=CC=C(C)C(CC2=CC=C(S2)C2=CC=C(F)C=C2)=C1
         Candesartan,       2541,      FALSE,    4.100,    119.000, CCOC1=NC2=CC=CC(C(O)=O)=C2N1CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1
         Candoxatril,    5362417,      FALSE,    4.000,    111.000, COCCOC[C@H](CC1(CCCC1)C(=O)N[C@H]1CC[C@H](CC1)C(O)=O)C(=O)OC1=CC2=C(CCC2)C=C1
